Subject Code,Prerequisites,Corequisites,Non-allowed Subjects
HIST30078,Prerequisites None,None,None
HIST90035,Prerequisites Code Name Teaching period Credit Points HIST90034 International Relations Thesis Part 1 Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 18.75,None,CodeNameTeaching periodCredit PointsASIA90012International Relations Thesis Part 1Semester 2 (On Campus - Parkville)Semester 1 (On Campus - Parkville)18.75ASIA90013International Relations Thesis Part 2Semester 1 (On Campus - Parkville)Semester 2 (On Campus - Parkville)18.75POLS90009International Relations InternshipSemester 1 (Off Campus)Semester 2 (Off Campus)25POLS90054International Relations Thesis Part 1Semester 1 (On Campus - Parkville)Semester 2 (On Campus - Parkville)18.75POLS90055International Relations Thesis Part 2Semester 2 (On Campus - Parkville)Semester 1 (On Campus - Parkville)18.75
ABPL90389,Prerequisites All of Code Name Teaching period Credit Points ABPL90061 Urban Design Studio A Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 25 ABPL90273 Urban Design Studio B Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 25,,
DEVT90060,"Prerequisites Admission into one of the following: 097AB Master of Development Studies, MC-ENV Master of Environment The selection process for this subject includes consideration of academic performance. All students need to have a WAM of 70 or above, and be in the second half of points of the degree in the semester they intend to enrol (e.g. final 100 points in the 200 program). Permission from the subject coordinator is required. Students are required to apply for permission to enrol into this subject prior to commencement of the internship. Students should make this application via the online application form: Link The selection process for this subject includes consideration of academic performance in the first half of the degree. More application information please refer to Subject Notes.",None,CodeNameTeaching periodCredit PointsDEVT90002Internship in DevelopmentSemester 2 (Off Campus)Semester 1 (Off Campus)12.5
ABPL90022,Prerequisites Admission into or selection of one of the following: MC-ENV Master of Environment 244CW Master of Public Health MC-URPL Master of Urban Planning MC-PROP Master of Property MC-URBDES Master of Urban Design MC-ARCHUP Master of Architecture/Master of Urban Planning MC-ARCHUD Master of Architecture/Master of Urban Design MC-PROPUP Master of Property/Master of Urban Planning MC-LARCHUP Master of Landscape Architecture/Master of Urban Planning MC-ARCH Master of Architecture MC-LARCH Master of Landscape Architecture MC-CM Master of Construction Management OR Written approval from the subject coordinator.,None,None
BMEN90022,Prerequisites One of Code Name Teaching period Credit Points MCEN90038 Dynamics Semester 1 (On Campus - Parkville) 12.5 BMEN90038 Biomechanics Semester 1 (On Campus - Parkville) 12.5,None,MCEN40006 Computational Biomechanics
DEVT90056,Prerequisites None,None,None
DEVT90061,Prerequisites None,None,None
UNIB10021,Prerequisites None,None,None
EDUC90334,"Prerequisites Admission into the MC-LI Master of Learning Intervention AND Completion of a minimum of 50 credit points of study in the Master of Learning Intervention, and must be taken in the final semester. AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points EDUC90335 Minor Project in Education 1 Semester 2 (Extended) (Online) Semester 1 (Extended) (Online) 12.5",None,None
CHEM90043,Prerequisites Code Name Teaching period Credit Points CHEM30016 Reactivity and Mechanism Semester 1 (On Campus - Parkville) 12.5 OR Equivalent subject OR Admission into or selection of one of the following: MC-SCICHE Master of Science (Chemistry) MR-IRCHEM Master of Industrial Research (Chemistry) Chemistry informal specialisation in the GDA-SCI Graduate Diploma in Science (Advanced) Chemistry informal specialisation in the BH-SCI Bachelor of Science (Degree with Honours),None,None
CHEM90051,Prerequisites Code Name Teaching period Credit Points CHEM30016 Reactivity and Mechanism Semester 1 (On Campus - Parkville) 12.5 OR Equivalent subject OR Admission into or selection of one of the following: MC-SCICHE Master of Science (Chemistry) Chemistry informal specialisation in the BH-SCI Bachelor of Science (Degree with Honours) Chemistry informal specialisation in the GDA-SCI Graduate Diploma in Science (Advanced),None,None
EDUC90290,"Prerequisites Prerequisites Admission into or selection of one of the following: MC-LI Master of Learning Intervention GC-LI Graduate Certificate in Learning Intervention MC-ED Master of Education MC-TESOL Master of TESOL MC-INSLEAD Master of Instructional Leadership Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: All of Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5 Or permission of Coordinator",None,None
MGMT90197,Prerequisites Admission into one of the following: MC-COMMGMT Master of Commerce (Management) MC-COMMKTG Master of Commerce (Marketing),None,None
ATOC90011,Prerequisites Code Name Teaching period Credit Points ATOC30004 Dynamical Meteorology and Oceanography Semester 1 (On Campus - Parkville) 12.5,None,None
GEOG30033,"Prerequisites 37.5 credit points of subjects, specifically inclusive of: Code Name Teaching period Credit Points GEOG20002 Landscapes and Environmental Change Semester 1 (On Campus - Parkville) 12.5 AND 25 credit points of any other Level 2 Geography subjects, or equivalent at discretion of subject coordinator",,
GEOG90026,Prerequisites,,CodeNameTeaching periodCredit PointsGEOG30023Global Climate Change in ContextFebruary (On Campus - Parkville)12.5
ATOC90015,"Prerequisites Linear algebra: Knowledge of matrices, inverse and matrix eigenvector/eigenvalue decompositions One of Code Name Teaching period Credit Points MAST10007 Linear Algebra Summer Term (On Campus - Parkville) Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 Calculus: Knowledge of basic derivatives and limit theory One of Code Name Teaching period Credit Points MAST10006 Calculus 2 Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 AND Basic computing or programming. One of Code Name Teaching period Credit Points COMP10001 Foundations of Computing Summer Term (On Campus - Parkville) Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 COMP10002 Foundations of Algorithms Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 COMP20005 Intro. to Numerical Computation in C Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 COMP90059 Introduction to Programming Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5",None,None
ATOC90014,Prerequisites None,None,None
CHEM90047,Prerequisites Code Name Teaching period Credit Points CHEM30016 Reactivity and Mechanism Semester 1 (On Campus - Parkville) 12.5 OR Admission into one of: • Master of Science (Chemistry) (MC-SCICHE) • Master of Industrial Research (Chemistry) (MR-IRCHEM) • Bachelor of Science (Degree with Honours) - Chemistry Specialisation (BH-SCI) • Graduate Diploma in Science (Advanced) - Chemistry Specialisation (GDA-SCI),,
ARTS20002,Prerequisites None,None,UNIB20018 Going Places - Travelling Smarter
FREN40005,Prerequisites Admission into or selection of one of the following: French Studies specialisation (formal) in the BH-ARTS Bachelor of Arts (Degree with Honours) Graduate Diploma in Arts (Advanced) - French informal specialisation in the GDA-ARTS Graduate Diploma in Arts (Advanced),None,None
HIST90023,Prerequisites Selection of one of the following: History specialisation (formal) in the BH-ARTS Bachelor of Arts (Degree with Honours) History specialisation (formal) in the GCA-ARTS Graduate Certificate in Arts (Advanced) History specialisation (formal) in the GDA-ARTS Graduate Diploma in Arts (Advanced) History specialisation (formal) in the GC-ARTS Graduate Certificate in Arts OR Subject Coordinator approval is required for students not enrolled in these programs.,None,None
ABPL90280,Prerequisites Admission into or selection of one of the following: MC-URPL Master of Urban Planning MC-URBDES Master of Urban Design MC-ARCH Master of Architecture MC-LARCH Master of Landscape Architecture MC-ARCHUP Master of Architecture/Master of Urban Planning MC-ARCHUD Master of Architecture/Master of Urban Design MC-UPUD Master of Urban Planning/Master of Urban Design MC-LARCHUP Master of Landscape Architecture/Master of Urban Planning MC-UCH Master of Urban and Cultural Heritage MC-ARCHCM Master of Architecture/Master of Construction Management MC-PROPUP Master of Property/Master of Urban Planning,None,None
CHEM90066,Prerequisites Students must complete the following subject or equivalent: Code Name Teaching period Credit Points CHEM30016 Reactivity and Mechanism Semester 1 (On Campus - Parkville) 12.5 OR Admission into or selection of one of the following: MC-SCICHE Master of Science (Chemistry) MR-IRCHEM Master of Industrial Research (Chemistry) Chemistry informal specialisation in the BH-SCI Bachelor of Science (Degree with Honours) Chemistry informal specialisation in the GDA-SCI Graduate Diploma in Science (Advanced),,
UNIB20022,Prerequisites None,None,None
EDUC90195,Prerequisites,,
GEOG30025,Prerequisites None,None,None
ACUR90001,"Prerequisites Admission into the 038AB Master of Art Curatorship, MC-CULMC Master of Cultural Materials Conservation OR Head of Program approval is required for enrolment by Community Access Program (CAP), Inbound Exchange/Study Abroad or Incoming Cross-institutional students.",None,None
CHEM90041,Prerequisites Code Name Teaching period Credit Points CHEM30016 Reactivity and Mechanism Semester 1 (On Campus - Parkville) 12.5 OR Equivalent subject OR Admission into or selection of one of the following: MC-SCICHE Master of Science (Chemistry) MR-IRCHEM Master of Industrial Research (Chemistry) Chemistry informal specialisation in the BH-SCI Bachelor of Science (Degree with Honours) Chemistry informal specialisation in the GDA-SCI Graduate Diploma in Science (Advanced),None,None
UNIB20021,Prerequisites None,None,None
ABPL90307,"Prerequisites Admission into a Melbourne School of Design coursework Masters (with the exception of Master of Construction Management, and Master of Urban and Cultural Heritage students) AND Completion of a minimum of 100 credit points of Melbourne School of Design-postgraduate level study Note: Before enrolment students are required to complete all the steps found at the below link. This should be completed at least 2 weeks before the start of semester. https://edsc.unimelb.edu.au/subject-information/internships-vocational-placements",None,None
CHEM90040,Prerequisites Code Name Teaching period Credit Points CHEM30016 Reactivity and Mechanism Semester 1 (On Campus - Parkville) 12.5 OR Equivalent subject OR Admission into or selection of one of the following: MC-SCICHE Master of Science (Chemistry) MR-IRCHEM Master of Industrial Research (Chemistry) Chemistry informal specialisation in the BH-SCI Bachelor of Science (Degree with Honours) Chemistry informal specialisation in the GDA-SCI Graduate Diploma in Science (Advanced),None,None
HIST70005,Prerequisites Admission into the MR-ARTSTHS Master of Arts (Thesis only),None,CodeNameTeaching periodCredit PointsENGL70003MA ResearchTime-based Research (On Campus - Parkville)LING70006MA ResearchTime-based Research (On Campus - Parkville)POLS70006MA ResearchTime-based Research (On Campus - Parkville)ASIA70005MA ResearchTime-based Research (On Campus - Parkville)
CRIM90008,Prerequisites None,None,None
NURS90069,Prerequisites,,
EDUC90933,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5",None,None
POPH90095,Prerequisites Code Name Teaching period Credit Points POPH90093 Economic Evaluation 1 Semester 2 (Dual-Delivery - Parkville) 12.5,None,None
ASIA70005,Prerequisites Admission into the MR-ARTSTHS Master of Arts (Thesis only),None,CodeNameTeaching periodCredit PointsHIST70005MA ResearchTime-based Research (On Campus - Parkville)ENGL70003MA ResearchTime-based Research (On Campus - Parkville)LING70006MA ResearchTime-based Research (On Campus - Parkville)POLS70006MA ResearchTime-based Research (On Campus - Parkville)
EDUC90505,Prerequisites,,
EDUC90048,"Prerequisites Students in the 200-point program of the Master of TESOL or the Master of Modern Languages Education must have completed 100 points of study including four Education electives and the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5",None,None
EDUC90096,"Prerequisites All students: Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points EDUC90048 Second Language Teaching Methodology Semester 1 (On Campus - Parkville) July (On Campus - Parkville) 12.5 Students in the 200-point program of the Master of TESOL or the Master of Modern Languages Education must have completed 100 points of study including four Education electives and the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5",None,CodeNameTeaching periodCredit PointsEDUC90050Supervised Teaching (Second Language)Semester 1 (On Campus - Parkville)Year Long (Extended) (On Campus - Parkville)Semester 2 (Extended) (On Campus - Parkville)12.5EDUC90996Supervised Teaching-Adult (Second Lang)Semester 1 (On Campus - Parkville)Year Long (Extended) (On Campus - Parkville)Semester 2 (Extended) (On Campus - Parkville)12.5
EDUC90507,"Prerequisites Admission into the MC-LI Master of Learning Intervention, GC-LI Graduate Certificate in Learning Intervention OR Permission of Coordinator",None,None
EDUC90715,Prerequisites None,None,EDUC90798
EDUC90750,Prerequisites Admission into the MC-INSLEAD Master of Instructional Leadership OR Permission of Coordinator,None,None
PHYS40005,Prerequisites Code Name Teaching period Credit Points BIOM40001 Introduction To Biomedical Research July (On Campus - Parkville) February (On Campus - Parkville) 12.5 Note: these can be taken concurrently (at the same time),All ofCodeNameTeaching periodCredit PointsPHYS90008Advanced Seminars in Biomedical SciencesSemester 1 (On Campus - Parkville)12.5,None
MEDI40005,Prerequisites Admission into or selection of one of the following: BH-BMED Bachelor of Biomedicine (Degree with Honours) BH-SCI Bachelor of Science (Degree with Honours) AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points BIOM40001 Introduction To Biomedical Research July (On Campus - Parkville) February (On Campus - Parkville) 12.5,CodeNameTeaching periodCredit PointsMEDI40006Biomedical Advanced CourseworkSemester 1 (On Campus - Parkville)12.5,None
MECM20014,Prerequisites None,None,None
PHTY40013,Prerequisites None,CodeNameTeaching periodCredit PointsPHTY40012Physiotherapy Research in PracticeSemester 1 (On Campus - Parkville)12.5,None
MAST90017,Prerequisites Code Name Teaching period Credit Points MAST30005 Algebra Semester 1 (On Campus - Parkville) 12.5 Or equivalent,None,None
DPSS90013,Prerequisites None,None,None
ATOC90013,Prerequisites Code Name Teaching period Credit Points ATOC30004 Dynamical Meteorology and Oceanography Semester 1 (On Campus - Parkville) 12.5,None,None
MAST90129,Prerequisites One of Code Name Teaching period Credit Points MAST30032 Biological Modelling and Simulation Semester 1 (On Campus - Parkville) 12.5 MAST30028 Numerical Methods & Scientific Computing Semester 2 (On Campus - Parkville) 12.5 COMP10001 Foundations of Computing Summer Term (On Campus - Parkville) Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 COMP90059 Introduction to Programming Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points MAST30030 Applied Mathematical Modelling Semester 1 (On Campus - Parkville) 12.5 MAST20030 Differential Equations Semester 2 (On Campus - Parkville) 12.5 MAST20029 Engineering Mathematics Summer Term (On Campus - Parkville) Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 PHYC20014 Theoretical Physics 2 Semester 2 (On Campus - Parkville) 12.5,None,None
ABPL90241,Prerequisites Admission into a course at the Melbourne School of Design OR Approval of the subject coordinator,None,702-574 (ABPL50004) Representing and Remembering Place (UG)
MAST90113,Prerequisites Code Name Teaching period Credit Points MAST30030 Applied Mathematical Modelling Semester 1 (On Campus - Parkville) 12.5,None,None
MIIM40005,Prerequisites None,CodeNameTeaching periodCredit PointsMIIM40002Advanced Microbiology and ImmunologySemester 1 (On Campus - Parkville)12.5,None
CONS30001,Prerequisites Admission into the B-DES Bachelor of Design AND a minimum of 150 credit points of completed study,None,None
EDUC90587,"Prerequisites Students in the 200-point program of the Master of TESOL or the Master of Modern Languages Education must have completed 100 points of study including four Education electives and the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5",None,None
EDUC90101,"Prerequisites Students in the 200-point program of the Master of TESOL or the Master of Modern Languages Education must have completed 100 points of study including four Education electives and the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5",None,None
EVSC90023,Prerequisites None,None,None
POLS90022,Prerequisites Admission into the MC-IR Master of International Relations,None,None
FNCE30008,Prerequisites One of Code Name Teaching period Credit Points FNCE10002 Principles of Finance Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) Summer Term (On Campus - Parkville) 12.5 FNCE10001  Finance 1 All students selected into this subject will need to complete a Working with Children check. Enrolment in Street Finance is limited to 20 students per semester and enrolment is by application only. More information below: Link,None,None
AGRI90072,"Prerequisites One of Code Name Teaching period Credit Points AGRI90075 Research Methods For Life Sciences Semester 1 (Online) 12.5 NRMT90003 Social Research Methods Semester 1 (On Campus - Parkville) 12.5 Note: these subjects can also be taken concurrently (at the same time) Undertaking a research project is conditional upon obtaining approval from a supervisor. Details regarding to the research area of academic supervisors and enrolment method, please visit https://science.unimelb.edu.au/students/plan-your-study/agriculture-food-science-research-projects",None,CodeNameTeaching periodCredit PointsAGRI90070Minor Research ProjectSemester 2 (On Campus - Parkville)Semester 1 (On Campus - Parkville)25AGRI90079Minor Research Project Part 1Semester 1 (Extended) (On Campus - Parkville)Semester 2 (Extended) (On Campus - Parkville)12.5AGRI90080Major Research Project Part 1Semester 2 (Extended) (On Campus - Parkville)Semester 1 (Extended) (On Campus - Parkville)25AGRI90081Minor Research Project Part 2Semester 2 (Early-Start) (On Campus - Parkville)Semester 1 (Early-Start) (On Campus - Parkville)12.5AGRI90082Major Research Project Part 2Semester 1 (Early-Start) (On Campus - Parkville)Semester 2 (Early-Start) (On Campus - Parkville)25
SCIE10005,Prerequisites Admission in the Bachelor of Science (B-SCI) or the Bachelor of Science (Extended) (B-SCIEXT),,
ENST90042,"Prerequisites Permission from Subject Coordinator required to enrol in this subject, and is dependent on having an approved project and supervisor.",None,None
ENST90041,"Prerequisites Permission from Subject Coordinator required to enrol in this subject, and is dependent on having an approved project and supervisor.",None,None
POLS90026,Prerequisites Admission into the MC-IR Master of International Relations,None,None
HORT90038,Prerequisites None,None,None
PUBL90003,"Prerequisites Admission into or selection of one of the following: MC-PUBCOM Master of Publishing and Communications GCA-PUBCOM Graduate Certificate in Publishing and Communications (Advanced) GDA-PUBCOM Graduate Diploma in Publishing and Communications (Advanced) D01LF Master of Creative Writing, Publishing and Editing MC-JOURN Master of Journalism MC-INTJOUR Master of International Journalism OR Head of Program approval is required for enrolment by Community Access Program (CAP), Inbound Exchange/Study Abroad or Incoming Cross-institutional students.",None,None
BINF90002,Prerequisites,,
SCWK90051,Prerequisites Code Name Teaching period Credit Points SCWK90050 Supervised Field Placement 2A September (On Campus - Parkville) February (On Campus - Parkville) May (On Campus - Parkville) 12.5,,
SCWK90050,Prerequisites Code Name Teaching period Credit Points SCWK90049 Supervised Field Placement 1B July (On Campus - Parkville) October (On Campus - Parkville) April (On Campus - Parkville) 12.5,None,None
SCWK90054,Prerequisites None,None,None
POPH90274,Prerequisites None,None,None
ECON90073,Prerequisites Admission into the MC-COMECO Master of Commerce (Economics),None,CodeNameTeaching periodCredit PointsECON90059Economics Thesis WorkshopNo longer available
PUBL90009,Prerequisites Code Name Teaching period Credit Points PUBL90006 Writing and Editing for Digital Media Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5,None,None
LAWS90169,Prerequisites None,None,None
MUSI30287,Prerequisites None,None,None
LAWS70441,Prerequisites Admission into a relevant Melbourne Law Masters program AND One of Code Name Teaching period Credit Points LAWS70176 Construction Law May (On Campus - Parkville) 12.5 LAWS70314 Principles of Construction Law February (On Campus - Parkville) July (On Campus - Parkville) May (On Campus - Parkville) 12.5 LAWS90207 Construction Project Delivery Law No longer available,,
PHTY90121,Prerequisites Code Name Teaching period Credit Points PHTY90117 Integrated Professional Practice A February (On Campus - Parkville) 31.25 PHTY90089 Neurological Physiotherapy Semester 2 (Early-Start) (On Campus - Parkville) 12.5 PHTY90090 Musculoskeletal Physiotherapy July (On Campus - Parkville) 12.5 PHTY90091 Cardiorespiratory Physiotherapy July (On Campus - Parkville) 12.5,CodeNameTeaching periodCredit PointsPHTY90118Physiotherapy Clinical Practice AYear Long (Extended) (On Campus - Parkville)12.5PHTY90119Physiotherapy Clinical Practice BYear Long (Extended) (On Campus - Parkville)12.5PHTY90120Physiotherapy Clinical Practice CYear Long (Extended) (On Campus - Parkville)12.5,None
ENST90007,Prerequisites Permission from Subject Coordinator required to enrol in this subject and is dependent on having an approved project and supervisor.,None,None
PHTY90129,Prerequisites None,None,None
PHTY90097,"Prerequisites Working knowledge and clinical experience of orthopaedics, spinal and skeletal structure and function, manual therapy.",None,None
MAST90012,Prerequisites All of Code Name Teaching period Credit Points MAST20022 Group Theory and Linear Algebra Semester 2 (On Campus - Parkville) 12.5 MAST30026 Metric and Hilbert Spaces Semester 2 (On Campus - Parkville) 12.5 Or equivalent,None,None
MUSI40071,Prerequisites None,None,None
PPMN90010,Prerequisites Admission into the 344AB Master of Public Policy and Management,None,None
PPMN90032,Prerequisites None,None,None
AUDI90054,Prerequisites Code Name Teaching period Credit Points AUDI90053 Audiology Practice A Semester 1 (On Campus - Parkville) 12.5 AUDI90055 Professionalism and Clinical Processes A Semester 1 (On Campus - Parkville) 12.5 AUDI90057 Sound and Innovative Solutions A Semester 1 (On Campus - Parkville) 12.5 AUDI90059 Structure & Function Across the Lifespan Semester 1 (On Campus - Parkville) 12.5,CodeNameTeaching periodCredit PointsAUDI90056Professionalism and Clinical Processes BSemester 2 (On Campus - Parkville)12.5AUDI90058Sound and Innovative Solutions BSemester 2 (On Campus - Parkville)12.5AUDI90060Evidence-Based PracticeSemester 2 (On Campus - Parkville)12.5,None
PPMN90054,Prerequisites None,None,None
AUDI90058,Prerequisites Code Name Teaching period Credit Points AUDI90053 Audiology Practice A Semester 1 (On Campus - Parkville) 12.5 AUDI90055 Professionalism and Clinical Processes A Semester 1 (On Campus - Parkville) 12.5 AUDI90057 Sound and Innovative Solutions A Semester 1 (On Campus - Parkville) 12.5 AUDI90059 Structure & Function Across the Lifespan Semester 1 (On Campus - Parkville) 12.5,CodeNameTeaching periodCredit PointsAUDI90056Professionalism and Clinical Processes BSemester 2 (On Campus - Parkville)12.5AUDI90060Evidence-Based PracticeSemester 2 (On Campus - Parkville)12.5AUDI90054Audiology Practice BSemester 2 (On Campus - Parkville)12.5,None
SOCI90018,Prerequisites None,None,None
BUSA90274,Prerequisites None,None,None
AGRI20045,Prerequisites,,
EDUC91066,Prerequisites None,None,None
EDUC91120,Prerequisites Standard/Accelerated Mode: Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points EDUC91119 Learning Area Visual Arts and Design A1 Semester 1 (On Campus - Parkville) 12.5 Students who commenced prior to 2022 may have completed EDUC90477 Learning Area Visual Arts & Design 1. Extended Mode: Code Name Teaching period Credit Points EDUC91119 Learning Area Visual Arts and Design A1 Semester 1 (On Campus - Parkville) 12.5 Students who commenced prior to 2022 may have completed EDUC90477 Learning Area Visual Arts & Design 1.,None,EDUC90477 Learning Area Visual Arts & Design 1 (no longer offered)
EDUC91095,Prerequisites None,None,EDUC90957 Learning Area Business Management 1 (no longer offered)
LAWS90299,Prerequisites None,None,None
EDUC91130,Prerequisites Code Name Teaching period Credit Points EDUC91100 Learning Area Economics 1 Semester 1 (On Campus - Parkville) 12.5 Teacher Candidates that commenced prior to 2022 may have completed EDUC90959 Learning Area Economics 1,None,EDUC90960 Learning Area Economics 2 (no longer offered)
EDUC91096,Prerequisites None,None,EDUC90433 Learning Area Chemistry 1 (no longer offered)
EDUC91183,Prerequisites None,None,EDUC90479 Learning Area Visual Ars & Design (Ad)1 (no longer offered)
EDUC91188,Prerequisites None,None,EDUC90453 Learning Area Languages 1 (no longer offered)
