Subject Code,Prerequisites
INFO90003,Prerequisites Code Name Teaching period Credit Points COMP90041 Programming and Software Development Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 OR Admission into or selection of one of the following: MC-CS Master of Computer Science MC-SOFTENG Master of Software Engineering 100pt Program course entry point in the MC-IT Master of Information Technology 150pt Program course entry point in the MC-IT Master of Information Technology
PSYC40005,Prerequisites Admission into or selection of one of the following: GDA-PSYCH Graduate Diploma in Psychology (Advanced) MC-AP Master of Applied Psychology MC-PROPSYC Master of Professional Psychology Psychology specialisation (formal) in the BH-ARTS Bachelor of Arts (Degree with Honours) Psychology informal specialisation in the BH-BMED Bachelor of Biomedicine (Degree with Honours) Psychology informal specialisation in the BH-SCI Bachelor of Science (Degree with Honours)
ENGL40015,Prerequisites None
NURS90120,Prerequisites None
FLTV90046,Prerequisites Code Name Teaching period Credit Points FLTV90045 Screen Story 1 Semester 1 (On Campus - Southbank) 12.5
ENGL40018,Prerequisites None
MUSI90195,Prerequisites Code Name Teaching period Credit Points MUSI90153 Professional Practice 2 Semester 1 (On Campus - Parkville) Semester 2 (Extended) (On Campus - Parkville) 6.25 AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points MUSI90149 Applied Instrumental and Vocal Teaching Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5
MUSI90193,Prerequisites Code Name Teaching period Credit Points MUSI90192 Studio Teaching 1 Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 6.25
LAWS70093,Prerequisites None
DNCE90017,Prerequisites None
ABPL30059,Prerequisites B-ENVS Bachelor of Environments students: ABPL20004 Principles of Property Valuation AND One of Code Name Teaching period Credit Points PROP20002 Design and Property Principles Semester 1 (On Campus - Parkville) 12.5 ABPL20031 Principles of Property AND One of Code Name Teaching period Credit Points PROP20001 Finance for Built Environment Semester 1 (On Campus - Parkville) 12.5 ABPL20052 Investment and Finance for Property AND One of Code Name Teaching period Credit Points PROP20003 Design and Property Industry Studies Semester 2 (On Campus - Parkville) 12.5 ABPL20033 Architectural Technology Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 ABPL20051 Construction Industry Studies - Property B-DES Bachelor of Design students admitted pre 2022: All of Code Name Teaching period Credit Points BLAW10001 Principles of Business Law Semester 1 (Online) Semester 2 (Online) 12.5 PROP20001 Finance for Built Environment Semester 1 (On Campus - Parkville) 12.5 PROP20003 Design and Property Industry Studies Semester 2 (On Campus - Parkville) 12.5 PROP20002 Design and Property Principles Semester 1 (On Campus - Parkville) 12.5 And one of Code Name Teaching period Credit Points PROP10002 Introduction to Property Semester 1 (On Campus - Parkville) 12.5 MKTG10001 Principles of Marketing Semester 1 (On Campus - Parkville) Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 B-DES  Bachelor of Design All of Code Name Teaching period Credit Points BLAW10001 Principles of Business Law Semester 1 (Online) Semester 2 (Online) 12.5 PROP10002 Introduction to Property Semester 1 (On Campus - Parkville) 12.5 PROP20001 Finance for Built Environment Semester 1 (On Campus - Parkville) 12.5 PROP20002 Design and Property Principles Semester 1 (On Campus - Parkville) 12.5 And one of Code Name Teaching period Credit Points PROP20003 Design and Property Industry Studies Semester 2 (On Campus - Parkville) 12.5 ABPL20033 Architectural Technology Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 It is strongly recommended that PROP30001 Valuation of Land and Buildings be undertaken / studied concurrently with ABPL30059 Property Case Studies
LAWS90125,Prerequisites None
EVSC90017,Prerequisites None
LAWS90056,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into a Melbourne Law Masters program Option 2 Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5
LAWS70234,Prerequisites None
EDUC90572,Prerequisites None
LAWS70037,Prerequisites None
ABPL30044,Prerequisites Students  must meet one of the following prerequisites options Option 1 Admission into the B-ENVS Bachelor of Environments AND All of Code Name Teaching period Credit Points ABPL30046 Steel and Concrete Structural Systems Semester 1 (On Campus - Parkville) 12.5 ABPL30055 Construction Management Semester 1 (On Campus - Parkville) 12.5 ABPL30040 Measurement of Building Works Not available in 2024 12.5 Option 2 Admission into the B-DES Bachelor of Design AND All of Code Name Teaching period Credit Points ABPL30055 Construction Management Semester 1 (On Campus - Parkville) 12.5 ABPL20036 Environmental Building Systems Semester 1 (On Campus - Parkville) 12.5 CONS20002 Measurement of Building Designs Semester 2 (On Campus - Parkville) 12.5 ABPL30046 Steel and Concrete Structural Systems Semester 1 (On Campus - Parkville) 12.5
LAWS70269,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into a Melbourne Law Masters program Option 2 Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5 LAWS50041 Public International Law July (On Campus - Parkville) 12.5
LAWS70314,Prerequisites Admission into a relevant Melbourne Law Masters program
AMGT90013,"Prerequisites Admission into the 175AA Master of Arts and Cultural Management OR Program Coordinator approval is required for enrolment by Community Access Program (CAP), Inbound Exchange/Study Abroad or Incoming Cross-institutional students."
AMGT90001,"Prerequisites Admission into the 175AA Master of Arts and Cultural Management OR Head of Program approval is required for enrolment by Community Access Program (CAP), Inbound Exchange/Study Abroad or Incoming Cross-institutional students."
AMGT90004,"Prerequisites Admission into the 175AA Master of Arts and Cultural Management OR Head of Program approval is required for enrolment by Community Access Program (CAP), Inbound Exchange/Study Abroad or Incoming Cross-institutional students."
CREA90008,Prerequisites Code Name Teaching period Credit Points CREA90004 Creative Arts Therapies Practice 1 Semester 1 (Early-Start) (Dual-Delivery - Southbank) 12.5 And one of Code Name Teaching period Credit Points CREA90006 Dance Movement Therapy Methods 1 Semester 1 (Early-Start) (On Campus - Southbank) 12.5 OR Code Name Teaching period Credit Points CREA90005 Drama Therapy Methods 1 Semester 1 (Early-Start) (On Campus - Southbank) 12.5
CREA90004,Prerequisites None
CREA90015,Prerequisites Code Name Teaching period Credit Points CREA90010 Drama Therapy Methods 2 Semester 2 (Early-Start) (On Campus - Southbank) 12.5
CREA90005,Prerequisites None
MUSI40081,Prerequisites Code Name Teaching period Credit Points MUSI40062 Honours Chamber Music 1 Semester 2 (On Campus - Southbank) November (On Campus - Southbank) Semester 1 (On Campus - Southbank) 6.25
MUSI40105,Prerequisites Code Name Teaching period Credit Points MUSI40104 Dissertation Part 1 Semester 1 (Extended) (On Campus - Southbank) Semester 2 (Extended) (On Campus - Southbank) 18.75
MUSI90224,Prerequisites Code Name Teaching period Credit Points MUSI90220 Orchestral Instrument Performance 2 Semester 2 (On Campus - Southbank) 18.75
MUSI90197,"Prerequisites Code Name Teaching period Credit Points MUSI90150 Music Learning, Teaching and Research Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5"
MUSI40102,Prerequisites Code Name Teaching period Credit Points MUSI40101 Thesis Part 1 Semester 1 (Extended) (On Campus - Southbank) Semester 2 (Extended) (On Campus - Southbank) 12.5
MUSI90147,Prerequisites None
MUSI90196,Prerequisites None
MUSI40101,Prerequisites None
MUSI90027,Prerequisites None
MUSI40074,Prerequisites None
MUSI90015,Prerequisites None
MUSI90154,"Prerequisites Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points MUSI90150 Music Learning, Teaching and Research Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5"
MUSI90220,Prerequisites Code Name Teaching period Credit Points MUSI90217 Orchestral Instrument Performance 1 Semester 1 (On Campus - Southbank) 18.75
MUSI90226,Prerequisites Code Name Teaching period Credit Points MUSI90224 Orchestral Instrument Performance 3 Not available in 2024 18.75 AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points MUSI90257 Side-by-side Project 2 Not available in 2024 6.25
MUSI90190,Prerequisites None
MUSI90227,Prerequisites Admission into the MC-MUSORP Master of Music (Orchestral Performance) AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points MUSI90221 Orchestral Performance Practicum 1 Semester 2 (On Campus - Southbank) 6.25 AND PERMISSION OF COURSE COORDINATOR: Students are required to request permission to enrol in this subject via the online form at the Fine Arts and Music Current Students Forms page via this link: https://finearts-music.unimelb.edu.au/current-students
AIND40003,Prerequisites None
MUST10013,Prerequisites None
MUSI90003,Prerequisites None
PHIL30054,Prerequisites None
ACCT90015,Prerequisites None
MUSI90148,"Prerequisites PERMISSION OF COORDINATOR: Students are required to apply for permission to enrol in this subject. Students must submit proof of permission with an Enrolment Assistance form to Stop 1: Link to Enrolment Assistance form Follow the link below to locate the Masters Ensemble registration form, which must be completed once enrolled in the subject. Link to application form"
MUSI40104,Prerequisites One of Code Name Teaching period Credit Points MUSI40078 Music Research (Honours) Semester 1 (On Campus - Southbank) 12.5 MUSI40079 The Ethnography of Music (Honours) Semester 1 (On Campus - Southbank) 12.5 Note: these can be taken concurrently (at the same time)
MUSI90198,Prerequisites Code Name Teaching period Credit Points MUSI90197 Professional Research Project Part 1 Semester 1 (Extended) (On Campus - Parkville) Semester 2 (Extended) (On Campus - Parkville) 12.5
MUSI90155,Prerequisites None
FLTV30030,Prerequisites Code Name Teaching period Credit Points FLTV30029 Screenwriting Practices 3A Semester 1 (On Campus - Southbank) 25
MUSI90014,Prerequisites None
MUSI90200,Prerequisites Code Name Teaching period Credit Points MUSI90199 Suzuki Practicum Part 1 Semester 1 (Extended) (On Campus - Parkville) Semester 2 (Extended) (On Campus - Parkville) 12.5
ANCW40015,"Prerequisites Students enrolling in this subject must be admitted to fourth-year Honours or Graduate Diploma (Advanced) in Ancient World Studies, Classics, or Gender Studies; or be admitted to the Graduate Diploma, Graduate Certificate or to the Graduate Certificate (Advanced) in Classical Studies and Archaeology; or Gender Studies, or have written permission from the subject coordinator."
MUSI40062,Prerequisites None
MUSI40016,Prerequisites Admission into the Practical Music informal specialisation in the GD-MUS Graduate Diploma in Music
MUSI30184,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
ELEN90093,Prerequisites All of Code Name Teaching period Credit Points COMP20005 Intro. to Numerical Computation in C Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 ELEN90066 Embedded System Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points ELEN20006 Digital Systems Semester 1 (On Campus - Parkville) 12.5 ELEN30014 Analog and Digital Electronics Concepts Semester 1 (On Campus - Parkville) 12.5
ELEN90089,Prerequisites All of Code Name Teaching period Credit Points ELEN90057 Communication Systems Semester 2 (On Campus - Parkville) 12.5 ELEN90058 Signal Processing Semester 2 (On Campus - Parkville) 12.5 ELEN90066 Embedded System Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5
ELEN90092,Prerequisites Code Name Teaching period Credit Points ELEN90074 Introduction to Power Engineering Semester 1 (On Campus - Parkville) 12.5 AND Code Name Teaching period Credit Points ELEN90060 Power System Analysis Semester 2 (On Campus - Parkville) 12.5
ELEN90096,Prerequisites Option 1 Admission into the MC-ELECENG Master of Electrical Engineering AND Completion of Code Name Teaching period Credit Points COMP20005 Intro. to Numerical Computation in C Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 ELEN90066 Embedded System Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 Option 2 Admission into or selection of one of the following: Computing (100pt) specialisation (formal) in the MC-IT Master of Information Technology Computing (150pt) specialisation (formal) in the MC-IT Master of Information Technology Computing (200pt) specialisation (formal) in the MC-IT Master of Information Technology Artificial Intelligence (100pt) specialisation (formal) in the MC-IT Master of Information Technology Artificial Intelligence (150pt) specialisation (formal) in the MC-IT Master of Information Technology Artificial Intelligence (200pt) specialisation (formal) in the MC-IT Master of Information Technology Distributed Computing (100pt) specialisation (formal) in the MC-IT Master of Information Technology Distributed Computing (150pt) specialisation (formal) in the MC-IT Master of Information Technology Distributed Computing (200pt) specialisation (formal) in the MC-IT Master of Information Technology Cyber Security (100pt) specialisation (formal) in the MC-IT Master of Information Technology Cyber Security (150pt) specialisation (formal) in the MC-IT Master of Information Technology Cyber Security (200pt) specialisation (formal) in the MC-IT Master of Information Technology Option 3 Admission into the MC-SOFTENG Master of Software Engineering AND Completion of Code Name Teaching period Credit Points SWEN30006 Software Modelling and Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 COMP30026 Models of Computation Semester 2 (On Campus - Parkville) 12.5
ELEN90091,Prerequisites Code Name Teaching period Credit Points ELEN30011 Electrical Device Modelling Semester 2 (On Campus - Parkville) 12.5
LAWS70344,"Prerequisites Successful completion of LAWS70173 International Law or an equivalent subject, or appropriate practical experience."
ELEN30014,Prerequisites Graduate Students: Admission into the MC-MTRNENG Master of Mechatronics Engineering Undergraduate Students: Code Name Teaching period Credit Points ELEN20005 Foundations of Electrical Networks Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5
DEVT90043,Prerequisites None
ANTH40012,Prerequisites None
PHTY90096,Prerequisites None
PHRM90001,Prerequisites None
DEVT90009,Prerequisites Admission into the 097AB Master of Development Studies
POPH30003,Prerequisites None
LAWS90126,Prerequisites None
GENP40002,Prerequisites Admission into or selection of one of the following: BH-BMED Bachelor of Biomedicine (Degree with Honours) BH-SCI Bachelor of Science (Degree with Honours) AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points BIOM40001 Introduction To Biomedical Research July (On Campus - Parkville) February (On Campus - Parkville) 12.5
EDUC91041,Prerequisites None
DEVT90040,Prerequisites None
ELEN90088,Prerequisites None
PUBL90004,Prerequisites None
PUBL90002,"Prerequisites Admission into or selection of one of the following: MC-PUBCOM Master of Publishing and Communications D01LF Master of Creative Writing, Publishing and Editing GDA-PUBCOM Graduate Diploma in Publishing and Communications (Advanced) GCA-PUBCOM Graduate Certificate in Publishing and Communications (Advanced)"
MUSI20229,Prerequisites Code Name Teaching period Credit Points MUSI10234 ANAM-MCM Ensembles 2 Semester 2 (On Campus - Southbank) 12.5
MUSI20230,Prerequisites Code Name Teaching period Credit Points MUSI20229 ANAM-MCM Ensembles 3 Semester 1 (On Campus - Southbank) 12.5
MUSI10234,Prerequisites Code Name Teaching period Credit Points MUSI10233 ANAM-MCM Ensembles 1 Semester 1 (On Campus - Southbank) 12.5
MUSI10233,Prerequisites
LAWS90092,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into a Melbourne Law Masters program Option 2 Admission into the MC-JURISD Juris Doctor JD students are required to have studied an international law subject.
ARTS10004,Prerequisites None
DRAM90016,Prerequisites None
DPSS30010,Prerequisites All of Code Name Teaching period Credit Points DPSS20012 Production Practice 2 Semester 2 (Extended) (On Campus - Southbank) 12.5 DPSS20013 Production Studio 4 Semester 2 (On Campus - Southbank) 25
MUSI90192,"Prerequisites Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points MUSI90150 Music Learning, Teaching and Research Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 AND Students must hold a valid Working With Children Check."
INDG40003,Prerequisites Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points ARTS40001 Research Principles & Practices Honours Semester 1 (Early-Start) (On Campus - Parkville) Semester 2 (Early-Start) (On Campus - Parkville) 12.5 AND Admission into or selection of one of the following: BH-ARTS Bachelor of Arts (Degree with Honours) GDA-ARTS Graduate Diploma in Arts (Advanced)
ELEN90090,Prerequisites All of Code Name Teaching period Credit Points ELEN90055 Control Systems Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 ELEN90066 Embedded System Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points ELEN90058 Signal Processing Semester 2 (On Campus - Parkville) 12.5 MCEN90032 Sensor Systems Semester 1 (Online) Semester 1 (On Campus - Parkville) 12.5
ELEN90095,"Prerequisites Option 1 Admission into one of the following: MC-ELECENG Master of Electrical Engineering, MC-MTRNENG Master of Mechatronics Engineering Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points ELEN90066 Embedded System Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 Option 2 Admission into one of the following: MC-IT Master of Information Technology, MC-SOFTENG Master of Software Engineering, MC-CS Master of Computer Science Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points COMP90054 AI Planning for Autonomy Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5"
ELEN90077,Prerequisites Students must meet one of the following prerequisite options: Option 1 Enrolment in a research higher degree (MPhil or PhD) in Engineering Option 2 Admission into or selection of one of the following: MC-ELECENG Master of Electrical Engineering Electrical specialisation (formal) in the MC-ENG Master of Engineering Electrical with Business specialisation (formal) in the MC-ENG Master of Engineering AND Code Name Teaching period Credit Points ELEN90074 Introduction to Power Engineering Semester 1 (On Campus - Parkville) 12.5
ELEN90094,Prerequisites One of Code Name Teaching period Credit Points ELEN90054 Probability and Random Models Semester 1 (On Campus - Parkville) 12.5 COMP90051 Statistical Machine Learning Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 MAST90105 Methods of Mathematical Statistics Semester 1 (On Campus - Parkville) 25 Note: these can be taken concurrently (at the same time)
PUBL90013,Prerequisites One of Code Name Teaching period Credit Points JOUR90001 Researching/Writing Stories Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 25 JOUR90020 International Journalism - Key Skills Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 25 MECM40011 Writing for the Media Semester 1 (On Campus - Parkville) 12.5 MECM90024 Strategic Content Creation Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 PUBL90002 Editorial English Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 PUBL90006 Writing and Editing for Digital Media Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5
PUBL90026,"Prerequisites Admission into one of the following: MC-PUBCOM Master of Publishing and Communications, D01LF Master of Creative Writing, Publishing and Editing Permission of coordinator is required to enrol in the subject. Students must also meet one of the following prerequisite options: Option 1 All of Code Name Teaching period Credit Points PUBL90001 Structural Editing Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 PUBL90002 Editorial English Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 with a final grade of 70% or higher in PUBL90002 Editorial English. Option 2 Code Name Teaching period Credit Points PUBL90002 Editorial English Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 AND One of Code Name Teaching period Credit Points PUBL90006 Writing and Editing for Digital Media Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 PUBL90010 Print Production and Design Winter Term (On Campus - Parkville) Semester 1 (On Campus - Parkville) August (Off Campus) 12.5 with a final grade of 75% or higher."
TRAN90025,Prerequisites Admission into the MC-TRANINT Master of Translation and Interpreting
TRAN90026,Prerequisites Code Name Teaching period Credit Points TRAN90025 Consecutive Interpreting Semester 1 (On Campus - Parkville) 12.5
MGMT90176,Prerequisites Code Name Teaching period Credit Points MGMT90015 Human Resource Fundamentals Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5
ABPL90341,Prerequisites None
ERTH90026,Prerequisites Admission to a Masters level program.
POLS90034,Prerequisites None
BIOM30003,Prerequisites Excellent results in a discipline appropriate to the project (normally an average of at least 75% in relevant 2nd and 3rd year subjects) AND Approval of the relevant Department Coordinator. Department specific details are listed in the link below: Link
LAWS70033,Prerequisites Admission into a relevant Melbourne Law Masters program
LAWS90292,Prerequisites
AUDI90024,Prerequisites For students completing 1st Year from 2021 onwards All of Code Name Teaching period Credit Points AUDI90021 Clinical Audiology A Semester 2 (On Campus - Parkville) 12.5 AUDI90023 Hearing Devices and Rehabilitation A Semester 2 (Early-Start) (On Campus - Parkville) 12.5 AUDI90047 Audiology in Professional Contexts Semester 2 (On Campus - Parkville) 6.25 AUDI90050 Acoustics and Perception of Speech Semester 1 (On Campus - Parkville) 6.25 For students completing 1st Year prior to 2021 All of Code Name Teaching period Credit Points AUDI90023 Hearing Devices and Rehabilitation A Semester 2 (Early-Start) (On Campus - Parkville) 12.5 AUDI90021 Clinical Audiology A Semester 2 (On Campus - Parkville) 12.5 AUDI90015 Acoustics AUDI90017 Perception of Sound & Speech
MUSI10069,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
ANCW40018,Prerequisites None
MUSI40013,Prerequisites Code Name Teaching period Credit Points MUSI40012 GradDip Composition 1 Semester 2 (On Campus - Southbank) Semester 1 (On Campus - Southbank) 18.75
FINA60012,Prerequisites Code Name Teaching period Credit Points FINA60011 Contemporary Art Practice A Semester 1 (On Campus - Southbank) 6.25
PLAN90001,Prerequisites Code Name Teaching period Credit Points ABPL90135 Analytical Methods Semester 1 (On Campus - Parkville) 12.5
MUSI30280,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI10236,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI40060,Prerequisites Selection of the Performance  informal specialisation in the BH-MUS Bachelor of Music (Degree with Honours)
MUSI40017,Prerequisites Code Name Teaching period Credit Points MUSI40016 Practical Study 1 Semester 1 (On Campus - Southbank) Semester 2 (On Campus - Southbank) 12.5
MUSI40032,Prerequisites None
MUSI20092,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI40012,Prerequisites None
ECON40003,Prerequisites Admission into or selection of one of the following: BH-COM Bachelor of Commerce (Degree with Honours) Economics specialisation (formal) in the BH-ARTS Bachelor of Arts (Degree with Honours) AND Code Name Teaching period Credit Points ECON40001 Advanced Microeconomics Semester 1 (On Campus - Parkville) 12.5
POPH90305,Prerequisites None
DPSS90005,Prerequisites Code Name Teaching period Credit Points DPSS90004 Design Projects 3 Part 1 Semester 1 (Extended) (On Campus - Southbank) 25
DPSS90003,Prerequisites Code Name Teaching period Credit Points DPSS90002 Design Projects 1 Semester 1 (On Campus - Southbank) 25
DPSS90008,Prerequisites None
LAWS70386,Prerequisites Admission into a Melbourne Law Masters program OR Admission into the MC-JURISD Juris Doctor
LAWS70240,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into a relevant Melbourne Law Masters program Option 2 Admission into the MC-JURISD Juris Doctor AND Code Name Teaching period Credit Points LAWS50035 Corporations Law Semester 2 (On Campus - Parkville) 12.5
LAWS90042,Prerequisites Admission into a Melbourne Law Masters program OR Admission into the MC-JURISD Juris Doctor
LAWS70399,Prerequisites None
LAWS90081,Prerequisites Admission into a relevant Melbourne Law Masters program
LAWS90118,Prerequisites None
PLAN90002,Prerequisites Code Name Teaching period Credit Points ABPL90130 Planning Law & Statutory Planning Semester 1 (On Campus - Parkville) 12.5
ATOC90021,Prerequisites Only available to students enrolled in the Master of Climate Science. Approval by the subject coordinator is required and is dependent on having an approved project and supervisor.
LAWS90014,Prerequisites None
LAWS70385,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into a relevant Melbourne Law Masters program Option 2 Admission into the MC-JURISD Juris Doctor AND Code Name Teaching period Credit Points LAWS50034 Criminal Law and Procedure Semester 2 (On Campus - Parkville) 12.5
LAWS70448,Prerequisites None
LAWS70106,Prerequisites None
LAWS90185,Prerequisites None
LAWS90276,Prerequisites None
LAWS70261,Prerequisites None
LAWS70335,Prerequisites Admission into a relevant Melbourne Law Masters program This subject requires students to analyse and engage closely with often complex legal texts. It is not recommended for students who have not completed a law degree.
LAWS70042,Prerequisites Admission into a relevant Melbourne Law Masters program
LING90034,Prerequisites None
LAWS90275,Prerequisites None
MECM90032,"Prerequisites Admission into the MC-MKTCOMM Master of Marketing Communications All potential students must contact the director of the Master of Marketing Communications, Dr Jennifer Beckett, jennifer.beckett@unimelb.edu.au , must complete a thesis proposal form and have their topic approved before enrolling in the subject. To be enrolled into the minor thesis, students must be in the final 100 points of their degree, with a weighted average mark of H2A (75%) across their previous 50 points of study (or equivalent) prior to enrolment in the thesis. This subject is a capstone in the Master of Marketing Communications program and is not available to Community Access Program (CAP), Inbound Exchange/Study Abroad or Incoming Cross-institutional students."
LAWS90180,Prerequisites None
LAWS90122,Prerequisites None
LAWS70105,Prerequisites None
LAWS70460,Prerequisites Admission into a relevant Melbourne Law Masters program
LAWS70409,Prerequisites None
LAWS70417,Prerequisites None
LAWS90143,Prerequisites
LAWS70371,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into a relevant Melbourne Law Masters program Option 2 Admission into the MC-JURISD Juris Doctor AND Code Name Teaching period Credit Points LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5
LAWS90106,Prerequisites Admission into a Melbourne Law Masters program OR Admission into the MC-JURISD Juris Doctor
MECM90033,Prerequisites Code Name Teaching period Credit Points MECM90032 Marketing Communications Thesis Part 1 Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 18.75
LAWS90069,"Prerequisites Admission into a relevant Melbourne Law Masters program AND Code Name Teaching period Credit Points LAWS90065 Foundations: Competition Law & Economics July (Online) January (Online) 12.5 LAWS90065 Foundations: Competition Law and Economics may not be required for students enrolled in the on campus Melbourne Law Masters program who have substantial competition law-related economics in their background, either by way of prior studies and/or relevant work experience."
LAWS90204,Prerequisites None
LAWS90097,Prerequisites Admission into a relevant Melbourne Law Masters program
LAWS70421,Prerequisites None
LAWS70318,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into a Melbourne Law Masters program AND Students should have studied tax at graduate or undergraduate level and have gained some practical experience in tax. Option 2 Admission into the MC-JURISD Juris Doctor AND Code Name Teaching period Credit Points LAWS50046 Taxation Law and Policy Semester 1 (On Campus - Parkville) 12.5
LAWS90157,Prerequisites None
LAWS90152,Prerequisites None
LAWS70436,Prerequisites Admission into a relevant Melbourne Law Masters program AND One of Code Name Teaching period Credit Points LAWS70314 Principles of Construction Law February (On Campus - Parkville) July (On Campus - Parkville) May (On Campus - Parkville) 12.5 LAWS70176 Construction Law May (On Campus - Parkville) 12.5 LAWS90207 Construction Project Delivery Law No longer available
LAWS90203,Prerequisites None
LAWS90094,Prerequisites None
LAWS70348,Prerequisites
LAWS70140,Prerequisites None
LAWS90011,Prerequisites None
LAWS70190,Prerequisites Admission into a relevant Melbourne Law Masters program
LAWS70369,Prerequisites None
LAWS90018,Prerequisites None
LAWS70422,Prerequisites None
LAWS70049,Prerequisites None
LAWS70176,Prerequisites Admission into a relevant Melbourne Law Masters program
LAWS90165,Prerequisites None
